Component,Price/unit,Quantity,Total price
Wifly module,£22.41,1,£22.41
Mbed,£41.38,1,£41.38
Motion sensor,£12.24,1,£12.24
Zigbee,£17.55,4,£70.20
Temperature Sensor,£1.21,1,£1.21
Breadboard,£3.15,5,£15.75
XBee to DIP Adapter,£2.50,4,£10.00
Humidity Sensor,£3.42,1,£3.42
Amega88 MCU,£2.66,1,£2.66
9V AC-AC adapter,£6.25,1,£6.25
2.1mm socket,£0.65,1,£0.65
Triac,£2.70,2,£5.40
Optocoupler,£1.07,1,£1.07
TL072 opamp,£0.68,2,£1.36
100W SPOT ES,£0.32,1,£0.32
Comparator,£0.17,4,£0.68
XOR gate,£0.26,2,£0.52
DC power adapter,£8.52,1,£8.52
Lead kettle,£2.20,1,£2.20
Voltage regulator,£0.60,1,£0.60
Small breadboard,£3.00,1,£3.00
Voltage regulator,£0.60,2,£1.20
2.1mm socket,£0.65,2,£1.30
,,Total,£212.34
